Review
I would like to say that the process of setting up the standing course a bit challenging. specially it requires a clear view of the sky so if you you need to ensure that there is they are no obstructions at all. yeah but after it was uh setup it works great and considering mine has an obstruction on the western side it work great.
As long as it has a clear line of sight with the sky. You'll never be disappointed.
"It is perfect with fast speeds, and is very reliable. In one word, ""excellent""."
Speed : I haven’t have any problem since day one . Either stream or gaming.
Value for money
"The equipment is top notch quality.
The internet speeds are incredible."
The problem I had was that the kit I received looked like it had been used before and someone returned it. There were dirt marks on it. Otherwise it works well and I am happy with it.
"I brought it home on friday and have not set it up. 
The box looks great!"
Works perfectly.Though speed fluctuates between 50 Mbps and 120 Mbps
It's as advertised
quick delivery
Easy install. Easy setup. Superb system.
it doesn't work unless connected to power. This is a challenge in rural areas
"The product arrived on time but I noticed Jumia cannot support you contact the seller when the product has an issue. I was forced to engage starlink myself and you can only write to them. Funny enough is you get one response in every 24hrs. The simple issue of set up took several days to be resolved. For the internet itself, upload speed are always and unbalanced compared to
 download ones. The latency which is crucial is always above 100. I have also experienced downtime even though it is mounted to a high point with no obstruction. If you are in a place with safaricom home or Fibre home, those are better option than this. If you are in a remote place with no any other means, this can help"
"Download speed is good, but the range of network is wanting. Very short range."
"Despite my best efforts calling the customer call centre and requesting for an ETR invoice, I ended up placing and completing my order without the ETR because it was taking too long and the call centre staff sounded unsure on what process to follow to get an ETR"
It has very fast internet speeds faster that even the LAN networks
Quick service
"Flawless internet at high speed, easy to set up and administer. Very recommendable"
Works very well.
The internet speeds are just amazing
"The kit speeds are amazing ????????, jumia delivery was perfect. Am buying the 2nd kit soon"
Stable and fast speeds
Speed is amazing????????
no more thinking about booster locaion can camp anywhere and work from anywhere
"This is the best ISP in kenya price to performance wise. Installation is simple. the kit is actually new rather than refurbished as people claim. Effects on weather is so minimal you won't notice it. My only gripe is that the wifi signal on both 2.4 and 5GHZ is pretty weak.
average speeds is about 80 Mbps and peak I've got is 260 Mbps"
Activation and payment modalities clarity is still a nightmare given it is in a new market.
"Amazing speeds ,even with obstructions,  i would recommend it ????,  hardware build is very good"
perfect
"It was easy to install and set up. I have better internet connection than before, and even though cables are down I am able to hold zoom meetings well"
"Works perfectly, It's just super, Internet speed is superfast and no buffering, I use it in an urban area (surrounded by buildings) and if you intend to do the same, just ensure you have a clear view of the sky without any obstruction on the South side as the dish is pointing in that direction, thank you Starlink for giving us a wonderful product and thank you Jumia for making it available in Kenya."
Best
Took a bit of setting up as would not activate easily but a few emails back and forth to Starlink and all sorted and amazing internet speeds in the bush!
I like it
Product seemed to have been opened as if its a second hand product. and its not even connecting even after i placed it in a clear sky
Fast delivery and easy installation.
Fast and reliable internet connection no matter the location
As expected
Very Easy Setup. Just needs good sky coverage
Works perfectly like promised!
So far I have tested the product and it is working well. I'm waiting to see how the rest of the days/months it is going to behave.
